,time,product,title,full_text,mark
0,15.10.2020 17:50,business_remote,"
Невозможность работы и ужасное отношение сотрудников
","Крайне не понравилось как этот банк работает с юрлицами. Думаю, если вы не крупная компания, то вам тут делать нечего. Правда непонятно зачем и крупной фирме открывать тут счет. Процедура открытия счета долгая, никаких выездных менеджеров и руководителю потребуется два раза приехать в офис, если счет откроют. Если нет - то будет холостой выезд. Запросили кучу дополнительных документов при открытии. У меня было всего несколько платежей, и я пользовался мобильным приложением. Сразу пошло все не так, выданная корпоративная карта не работала, звонок менеджеру и проблема была решена. Кстати, все общение идет с личным менеджером, в коллцентр звонить бесполезно, они ничего не решают и не помогают. Мне с менеджером крайне не повезло, М-ва Е. производила неприятное впечатление, общалась свысока и помогала неохотно, как будто это я ей чего-то должен. Спустя 3 месяца работы и при дебетовом обороте 150т, Банк никак не проинформировав нас, видимо заблокировал счет, платежки отправить было невозможно. Через пару дней после многочисленных звонков удалось выяснить, что счет заблокирован СФМ и через какое-то время мы получили запрос на предоставление документов, которые мы быстро и предоставили, но Елена позвонила и сказала, что счет нужно закрыть, для этого приехать в офис. Оказалось, что счет не закроют, пока я не сдам корпоративную карту физически. Про то зачем нести пластик в офис и почему об этом не предупредили заранее, несли какой-то бред! Ну хорошо, принес карту. Но оказалось что остаток с карты получить невозможно, что нужно согласовывать это с СФМ и это займет время. Приходить еще раз мне не хотелось и я плюнул на эти 400р на карте - точнее перевел их в доход банка, по другому было нельзя - пусть подавятся! Остаток на р/сч перевели за 400р в другой банк. Итог: мне совсем не понравилось, совковый банк, неклиентоориентированный, нет ни одной причины, чтобы держать здесь счет.",Без оценки
1,09.10.2020 11:40,business_remote,"
Мой клиент остался доволен!
","Доброго времени суток!  Хочу поблагодарить сотрудника отделения  Банка в г. Бердск Новосибирской области Ш-к Марину Игоревну, за качественное обслуживание. Обратилась в отделение банка за ипотечным кредитом для своего клиента. Предложили  выгодные условия и хорошую процентную ставку. Решение по ипотеке пришло очень быстро. В процессе подготовки к сделке корректировалось исходя из складывающихся обстоятельств в части выбора обьекта. Сотрудник доброжелательный, оперативно реагировала на обращения и терпеливо вела нас к цели. 08 октября 2020 г. состоялась сделка. Грамотный выбор банка и менеджера - это и наше лицо, лицо Партнера Банка. Мой клиент остался доволен обслуживанием. Обязательно порекомендую Россельхозбанк  коллегам, друзьям и родным.  Огромное спасибо за таких высококвалифицированных сотрудников!","Оценка:

			5
		

							Не засчитана"
2,06.10.2020 18:30,business_remote,"
Хорошее обслуживание
","В очередной раз убеждаюсь в профессионализме операциониста Ко-ун Ирины,обслуживаюсь в этом отделении не первый год,сегодня пришёл с банальным вопросом,мало того что его оперативно решили,плюс ко всему предложили отличный сервис для моего бизнеса-разместить товары на их новой платформе!Всем рекомендую офис,за многие года ещё не разу не разочаровался,так держать!","Оценка:

			5
		

							Не засчитана"
3,30.09.2020 17:43,business_remote,"
Оценка деятельности
","Добрый день! Хотел бы отметить профессиональное, удобное и качественное обслуживание меня как клиента, отдела юридических лиц Ивановского филиала Россельхозбанка и в частности специалистов данного отдела. Все мои вопросы были решены достаточно оперативно, быстро, сотрудники с кем я общался очень хорошо подготовлены, особенно хотел бы отметить работу Р-ой Евгении, сотрудника отдела юридических лиц. Спасибо вам.","Оценка:

			5
		

							Не засчитана"
4,30.09.2020 6:20,business_remote,"
АО Россельхозбанк, ДО 5909, с.Курумкан
","Выражаю благодарность Руководителю ДО 5909 Ан-вой Ларисе Жамбаловне за профессионализм, грамотный и вежливый подход к клиентам! А так же сотрудникам этого банка, где одним из них является Евгения Андреевна, которая быстро и оперативно исчерпывает любые возникшие вопросы.Например: с р/счета перевел деньги на бизнес карту и не мог обналичить и даже через терминал оплатить за покупку! Связи с тем что находился в отъезде, вынужден был обратиться по телефону и Евгения Андреевна объяснила и проблема была решена!Спасибо!","Оценка:

			5
		

							Не засчитана"
5,29.09.2020 14:01,business_remote,"
Некомпетентные сотрудники
","Безобразный банк, некомпетентные сотрудники, которые не могут решить возникшие, по их же вине вопросы. Обращалась в офис на ул. Скобелевская д. 20. Сотрудники, обслуживающие юр. лица, просто отсутствуют. Дозвониться до офиса по телефону, который предоставляют в Coll-центре, за неделю не удалось ни разу.Приехав в офис на Скобелевский д 20 21.09.2020 офис просто напросто оказался закрыт по техническим причинам, никакой информации для клиентов о сроках технических причин не было, в том числе в Coll- центре тоже не предоставили данную информацию, т к информации о закрытии у них не было. Получается, когда хотим, тогда и закрываем? И пусть клиенты решают свои вопросы как хотят? Прошло 2 недели, мой финансовый вопрос в данном банке не решён до сих пор, как после такого связывать свой бизнес с таким безнадежным банком?! Очень НЕ рекомендую выбирать Россельхозбанк для обслуживания своих счетов!!!","Оценка:

			1"
6,18.09.2020 16:30,business_remote,"
Огромная благодарность
","Уже много лет работаю бухгалтером. Веду несколько ООО. И по всем организациям обслуживаюсь в Россельхозбанке.  Есть банки с более современными и удобными программами,  но остаюсь с РСХБ только из за его сотрудников. Девочки работают очень оперативно, проффесионально, добросовестно, к каждому клиенту индивидуальный подход. Особенно хочется выделить С-ву Анжелу М., и Д-ву Аиду К..","Оценка:

			5
		

							Не засчитана"
7,16.09.2020 15:01,business_remote,"
Молодцы
","Хочу поблагодарить сотрудников банка, за хорошее отношение... За оперативную работу с юридическими лицами в данном отделении...В частности Татьяну Николаевну А-ву, хороший сотрудник, всегда готова помочь...Хочется рассчитывать что и далее всегда так будет, чувствуется обратная связь, и желание становиться лучше.","Оценка:

			5
		

							Не засчитана"
8,14.09.2020 17:43,business_remote,"
Если хотите почувствовать себя идиотом - вам сюда
","Очень сложно сдерживать свою речь в рамках приличия, т.к. система обслуживания и взаимодействия банка с юрицами заслуживает только жесткого порицания. с банком проработали меньше двух месяцев и нас заблокировали.  20.07 открыты бесплатные счета в банке, наш менеджер Светлана сказала, больше приезжать в офис не надо, работайте спокойно. через месяц произошло списание со счета в размере 2 тыс рублей. Оказалось, что счета не бесплатные, сотрудница даже не умолчала об ежемесячном обслуживании, а соврала, т.к. двое человек спрашивали об оплатах, и Светлана четко произносила, что счет бесплатный. 5.08 при попытке подключить ДБО обнаружилось, что для подключения удаленного доступа нужно приехать в банк и подписать заявления. кое-как удалось это сделать удаленно. за август было проведено 6 платежных поручений. 25 августа счет заблокировали. 27 авг прислан список документов по деятельности компании, зарплате, ведении бизнеса, контрагентам и пр. 02.09 документы отправлены. Светлана заявляет, что она выполняет функцию передаточного звена между нашей компанией и неким Исполнителем, с которым нельзя связываться по непонятным причинам. 08.09 получен доп запрос через Светлану от исполнителя. 08.09 отправлены доп. документы. 14.09 через несколько часов безуспешных попыток дозвониться до Светланы напрямую, а также через общий номер банка, получен ответ от Исполнителя через Светлану, а именно ""принимать документы на бумажных носителях с полным комплектом товаросопроводительной документации к платежу для использования права отказа в выполнении распоряжения"". Если кто может объяснить, помогите, я не понимаю, ровно то, как вообще банк с таким рейтингом может так бестолково выстраивать схему общения с юрлицами, т.е через такие вот передаточные звенья. Светлана четко говорит что это не ее сфера, она только передает. Общая служба только соединяет с кем-то кто всегда не в курсе и не знает что делать. Позор для банка. Никому никогда не посоветую открывать счета для бизнеса здесь. Полтора месяца непрофессиональной работы и уж скоро месяц беспросветной возни по поводу разблокировки.  Хуже всего не то, что заблокировали, а то что отсутствие конкретики и ответственных лиц делает из тебя просто беспомощного идиота, неспособного что-либо доказать или донести.","Оценка:

			1"
9,09.09.2020 14:26,business_remote,"
Благодарность
","Благодарю банк и его представителя П-ко Е.П. за внимательное отношение и качественное обслуживание юридического лица ОКУ ЦЗН Медвенского района, а также сотрудников нашей организации. Очень грамотно и доступно разъяснили правила пользования услугой ДБО, его возможности и плюсы применения в сложившейся сложной обстановке работы во время пандемии. Спасибо всему коллективу ДО 3216 в п.Медвенка.","Оценка:

			5
		

							Не засчитана"
