	time	product	title	full_text	mark
0	29.05.2020 15:29	corporate	"
Отзыв
"	Мы долгое время обслуживаемся в качестве юр.лица в Доп.офисе г. Тихорецка КРФ АО Россельхозбанка. Прекрасный коллектив, отличное качество обслуживания. Особенно хочется отметить специалиста по обслуживанию юр.лиц Ш-га Викторию за профессионализм, внимательность, консультации, подход к каждому клиенту.  Этот банк вошёл в наше доверие.	"Оценка:

			5
		

							Не засчитана"
1	24.07.2019 13:58	corporate	"
Расчетный счет
"	Добрый день!2 недели назад открывал расчетный счет в отделении Россельхоз Банка, находящегося по адресу: г. Москва, ул. 1-я Тверская-Ямская, д. 26. Остался доволен предоставленным сервисом, сотрудники все сделали быстро, общались культурно, ответили на все мои вопросы.  Ответ по открытии р/с пришел быстро. На этой недели подключил ДБО. Все очень удобно! Побольше бы таких отделений, коллектив очень приветливый, позитивный, всегда царит дружеская атмосфера. Видно, что люди работают сплоченной командой. Успехов Вам в работе и большого потока клиентов! Надеюсь на дальнейшее сотрудничество!	"Оценка:

			5
		

							Не засчитана"
2	03.07.2019 17:18	corporate	"
Благодарность
"	В качестве Индивидуального предпринимателя я обслуживаюсь в Россельхозбанке с 2014 года. За все время работы с банком - ни единого нарекания, от посещения отделения банка остаются всегда только положительные эмоции. Особо хочется отметить Заместителя управляющего на Каменноостровском пр. А-ву А.В. Анна Валерьевна всегда вежлива, улыбчива и доброжелательна. На все мои вопросы, порой глупые :-) отвечает терпеливо и доходчиво. Как физлицо я являюсь премиальным клиентом Россельхозбанка. Благодаря помощи Анны я оформил три полиса индивидуального страхования жизни и здоровья. Если бы не ее грамотные рекомендации - сам бы не разобрался. Также страхую дом и квартиру. Мое хобби - коллекционирование монет. Анна Валерьевна всегда поможет с покупкой и доставкой. Такой подход к клиенту очень импонирует. У всех членов моей семьи оформлены карты РСХБ, у некоторых есть вклады. Недавно размагнитилась карта, Анна помогла в скорейшей ее замене. В общем, всегда на связи, если есть какие-то вопросы, то они решаются незамедлительно с ее помощью. Мои партнеры иногда жалуются на обслуживание в их банках. Всегда от души советую им отделение на Каменноостровском проспекте.	"Оценка:

			5"
3	17.06.2019 10:09	corporate	"
Желаем успехов в работе сотрудникам банка
"	Работаем с банком  9 лет. В работе все нравится: быстрое операционное обслуживание и доброжелательные сотрудники банка. В дальнейшем надеемся на долгое сотрудничество, льготное кредитование для развития производства, с понижением процентных ставок по кредитам для юридических и физических лиц. Желаем успехов в работе сотрудникам банка.	"Оценка:

			5
		

							Не засчитана"
4	07.06.2019 21:25	corporate	"
Оценка работы сотрудников банка
"	Хочется выразить искренние слова благодарности коллективу отделения №33493205 Россельхозбанка по ул.Запольной в городе Курске и отдельно Вашим специалистам А-вой Ольге В. и Ж-вой Валентине Н.! Я, И-в Д.Н., пользуюсь услугами этого отделения Россельхозбанка много лет. Неоднократно в операциях мне помогали данные сотрудники и считаю, что такими работниками можно гордиться и брать с них пример в работе и культуре общения с клиентами Вашего отделения. Они хороший пример честности и добропорядочности, в чём у меня, и надеюсь у других, были реальные случаи убедиться и сказать им большое спасибо за это!	Без оценки
5	12.04.2019 9:41	corporate	"
Заблокировали счет
"	Добрый день! Открыл расчетный счет в Россельхозбанке, так как являюсь индивидуальным предпринимателем. У меня 2 вида деятельности: грузоперевозки личным транспортом, и организация грузоперевозок , код 49.2, с привлечением стороннего транспорта. В данном виде я выступаю посредником между заказчиком и водителем. Мое вознаграждение составляет 5% от общей стоимости перевозки. Данный вид деятельности попадает по Упрощенную систему налогообложения по объекту Доходы. Все налоги мной оплачены, налоговая отчетность сдается вовремя. Но банку почему-то это не понравилось и 1 апреля мне заблокировали дистанционное обслуживание. 2 апреля я обратился в офис банка с вопросом, на каком основании  мне заблокировали ДО. На что сотрудники ответили, что блокировка произошла в связи с подозрением на отмывание доходов. 2 апреля по запросу банка мы предоставили все необходимые документы. Ежедневно звонили в банк и уточняли, проверены ли они. После недельной проверки с меня запросили копии деклараций водителей, чтобы доказать, что я не отмываю через них доходы, что они все платят налоги. Все копии были предоставлены в этот же день, 8 апреля.затем, 10 апреля заново запросили копии всех договор между мной и заказчиками, опять же все было предоставлено. Но в итоге, сегодня позвонили из банка и сказали, что принято решение о расторжении договора. Очень хочется узнать, по какой причине?. Все необходимые документы предоставлены. Деятельность вся прозрачная	Без оценки
6	06.02.2019 14:01	corporate	"
Россельхозбанк порадовал
"	Редко пишу отзывы об обслуживании но то насколько профессионально и отзывчиво отнеслись ко мне как клиенту обязывает отметить работу сотрудников данного банка. Я являюсь клиентом Московского индустриального банка, те проблемы с которыми столкнулся данный банк заставили меня искать другой банк для обслуживания моего бизнеса. Обратился в ближайший офис который находится на Кантемирова как оказалось данный офис является главным по республике, хотел записаться на приём к директору филиала Х-кому Г.М., и с удивлением обнаружил что директор принимает просто так без записей, чудо!!! Принял, проконсультировал, направил по вопросу получения перечня документов для кредита к специалистам, единственный минус что отдел кредитования находится в другом офисе, но предварительно позвонил и предупредил о моем визите, а позже вечером перезвонил и поинтересовался все ли устроило, буду ли я открывать счет в банке и подавать заявку на кредит. Оставил свой ЛИЧНЫЙ!!! номер телефона - это чудо #2 за день. Конечно я перешёл на обслуживание в Россельхозбанк. По итогам прошедших 3-х недель могу отметить следующее: Плюсы:- индивидуальный подход = качество обслуживания;- тарифы по обслуживанию ФЛ и ЮЛ;- отсутствие очередей (пока не сталкивался)- выгодный курс обмена валюты;- ЖИВОЕ ОБЩЕНИЕ !!! - никто не отправляет тебя по-любому поводу на горячую линию.- Минусы:- система дистанционного обслуживания неудобная но работает без сбоев;- офис на Кантемирова ужасен эдакий сарай со Сбербанком и тем же Московским банком не сравнить, но это индивидуально, лично мне приятно обслуживаться в новых удобных офисах хотя в офисы теперь приходится ходить редко.- нельзя получить кредит как ФЛ, кредиты дают только пенсионерам и бюджетникам.Резюмируя - однозначно рекомендую данный банк всем категориям клиентов. P.S. ещё раз проверил телефон данный директором - работает, человек отвечает, но я не буду злоупотреблять, т.к. для нашей республики это редкость что можно напрямую связаться с первым лицом организации.	"Оценка:

			5"
7	25.01.2019 13:08	corporate	"
Договор банку - не доказательство
"	Итак предыстория:Заключили договор на оказание услуг(ИП) с крупной компанией по монтажу и пусконаладке слаботочного оборудования все работы были благополучно выполнены подписаны все закрывающие документы сметы акты выполненных работ т.е. соблюдены все юридические формальности ну и как следствие клиент переводит на счет ИП достаточно крупную сумму в размере примерно 600 тыс. руб. еще раз повторюсь услуги реально оказывались а не просто были нарисованы на бумаге.  Что происходит дальше из банка приходит письмо что предоставьте пояснение по данной сумме после нового года в банк подаются все требуемые банком документы: договор локальные сметы акты выполненный работ. Прошу обратить внимание в договоре прописано что исполнитель обязуется выполнить пусконаладочные работы и монтаж оборудования. (обратите внимания ни какой речи о том что исполнитель закупает материалы в договоре НЕТ) что происходит дальше банк требует предоставить накладные на закупку материалов и оборудования. Итог спустя 10 дней счет снова заблокирован о каких накладных может идти речь если в договоре прописано МОНТАЖ и ПУСКОНАЛАДОЧНЫЕ РАБОТЫ на каком основании от нас запрашивают несуществующие документы и при этом предлагают снять оставшиеся деньги под 10% через чековую книжку которую так же необходимо заказывать.На каком основании СБ банка считает что невозможно выполнить эти работы за 3 недели указанных в договоре или они провели расследование и выяснили каким то образом что квалификация исполнителя недостаточная для выполнения этих работ. У многих квалифицированных специалистов почасовая оплата и данный случай не исключение.	Без оценки
8	20.12.2018 9:01	corporate	"
Ответственная работа менеджеров отделения 
"	"Добрый день! Хотелось бы оставить отзыв о положительной и ответственной работе менеджеров отделения РоссельхозБанка! Я ИП, со стажем,вел счета во многих банках,есть с чем сравнивать!В данном банке за время обслуживания все операции и пополнения проходят без задержек! документы предоставляются в короткие сроки!удобный и понятный интернет банк,есть конечно вопросы по ОБЛИКУ офиса,но это скорей вопрос времени""банк молодой"", и руководства сделайте свои офисы удобными!!! спасибо за внимание!!!)"	Без оценки
9	20.10.2018 12:48	corporate	"
Неправомерное навязывание дополнительных услуг
"	Обращается ИП Г-мов А.А. ИНН 583***4638. г.Пенза. 15.10.2018 г банк ( РОССЕЛЬХОЗБАНК г.Пенза,ул.Бекешская 39) заблокировал счет по 115 фз. запросили документы подтверждающие операции по счету.Все документы были предоставлены в срок указанный в запросе т.е 16.10.2018 г. тем не менее банк попросил закрыть счет не объясняя причин.Дальше происходит следующее: сотрудники банка по работе с юр. лицами(окно 19 г.Пенза ул Бекешская 39 тел 88412421771) при закрытие счета навязывают две страховки по 9000 р и по 11500 р и какие то  непонятные услуги помощи юр.лицам стоимостью 8000 р. иначе отказываются закрывать счет и переводить деньги на указанные мною реквизиты моего ИП в другом банке.(объясняют это распоряжением руководства).Говорят так: не оформишь страховки деньги отправим в Центробанк и вообще я их не получу. Хороший бизнес получается банк блокирует счет без объяснения причин никакие доводы и документы не принимает. т.к документы все предоставил, через 20 минут ответ закрыть счет.их получается даже никто не смотрел.и берет за перевод денег 28500 р.Объясните мне простому гражданину РФ который пашет каждый день на грузовом автомобиле за что вы отбираете мои заработанные деньги и нарушаете статью 859 ч. 5 ГК.РФ	Без оценки
