	time	product	title	full_text	mark
0	05.12.2020 11:40	debitcards	"
ПРОПОДАЮТ ПЛАТЕЖИ ЖКХ САХАЛИНЭНЕРГО
"	"В МОБИЛЬНОМ ПРИЛОЖЕНИИ ОПЛАЧИВАЮ УСЛУГИ ЖКХ И ЭЛЕКТРОЭНЕРГИЮ.ПЛАТЕЖИ НЕ ДОХОДЯТ . В ПОНЕДЕЛЬНИК ПОЙДУ РАЗБИРАТЬСЯ .НАВЕРНО ПРАВИЛЬНО  ГОВОРЯТ БАНК НУЖЕН ТОЛЬКО ДЛЯ СНЯТИЯ ДЕНЕГ. ВО ВСЕХ СМЫСЛАХ ЭТОГО СЛОВА .2000-2020 АО ""Россельхозбанк""  ДА И ДО СИХ ПОР НЕ ВЕРНУЛИ ПЛАТЁЖ В РАЗМЕРЕ 770 РУБЛЕЙ ТАКЖЕ ПЛАТЁЖ УШЁЛ НИ ПОНЯТНО КУДА."	Без оценки
1	04.12.2020 22:43	debitcards	"
Ужасное обслуживание зарплатного проекта
"	Я-госслужащий. Зарплатные проект обслуживается Россельхозбанком. Помимо карты Мир имею премиальную карту этого банка, по которой при выдаче сотрудники гарантировали премиальное обслуживание. На территории нашего учреждения расположен банкомат Россельхозбанка. Его отличает весьма нестабильная работа на протяжении долгого времени. Пришлось снять деньги с карты. При совершении этой операции карта и деньги оказались заблокированы, но операция по списанию со счета произошла. Через полчаса я приехала в офис банка на Красногвардейском бульваре и составила два заявления о возврате карте и несогласии с проведенной операцией, 30.11 они приняты Логачевой В.Е. Сотрудница банка объяснила, что при инкассации, которая проходит каждый день, и карта, и деньги будут изъяты и денежные средства поступят в течение трёх дней на счёт. Спустя пять дней денежные средства не поступили, я опять приехала в отделение банка. Мне опять предложили заполнить эти заявления. На что я высказала свои претензии. Сотрудница по телефону связывалась с кем-то, в процессе разговора выяснилось, что срок зачисления 30 !!! суток, что в сравнении, скажем, со Сбером в 15 раз дольше, там это 2 дня!! После моего возмущения, пообещали перевести деньги вечером этого дня. Так вот, вечер затянулся, денег нет. Придется переходить на другие зарплатные проекты, у нас они представлены ещё в трёх банках.  И прибегнуть к действию антирекламы. Мне это сделать нетрудно!	"Оценка:

			1
		

							Проверяется"
2	04.12.2020 20:14	debitcards	"
Не хотят закрывать карты
"	Первое обращение.30.09.2020 г.  по моей просьбе сотрудником было оформлено и принято заявление о закрытии счета и прекращении действия карт с номерами ххх6752 и ххх2390. Этим же днем карты были изъята у меня и уничтожены. Это действие я произвела в отделении номер 3349/20/23 г. Саранск.Но карты не пропали из мобильного приложения. Я начала переписку в мобильного приложения интересуясь –почемутак? Среди поступивших ответов был только один разумный, который гласил, что статус карт должен был измениться сразу. После поступали ответы, что, оказывается, УЖЕ и карта закрывается, как и счет, 45 дней. Прошло 45 дней,карты так и остались висеть в моб. приложении. Через переписку в мобильного приложении я спросила, почему карты и счета активны. Но мне ответили, что ответбыл предоставлен  в предыдущем письме. В каком таком письме…На текущий момент, 04.12.2020 карты не пропали из мобильного приложения. Но и теперь по карте сномером ххх6752 появилась «комиссия за обслуживание банковской карты 2020» в размере 400,00 руб. от 25.11.2020Хочу спросить и получить письменно ответ:1. Почему у вас такие некомпетентные работники?2. Почему появилась комиссия по карте ххх6752 и счету, заявление по которым было подано 30.09.2020?3. Почему на текущий момент, 04.12.2020, не закрыты карты с номерами ххх6752  и ххх2390 и счета к ним, заявления по которым были поданы 30.09.2020?Второе обращение.29.10.2020 г. по моей просьбе сотрудником было оформлено и принято заявление о закрытии счета ипрекращении действия карты с номером ххх9129 . Этим же днем карта были изъята у меня и уничтожена. Это действие я произвела в отделении номер 3349/20/23 г. Саранск. Я попросила предоставить мне второй экземпляр или копию. Но мне в этом отказали. Через переписку в мобильном приложении я спросила,почему мне не дали документ. Мне ничего на это не ответили.Хочу спросить и получить письменно ответ:1. Почему мне оказались предоставить второй экземпляр или копию принятого заявление о закрытии счета ипрекращении действия карты с номером ххх9129? Прошу обосновать это с указанием реквизитов нормативного акта.2. Прошу доставить мне второй экземпляр или копию принятого заявление о закрытии счета и прекращении действия карты с номером ххх9129 вашими собственными силами и средствами.	"Оценка:

			1
		

							Проверяется"
3	04.12.2020 13:37	debitcards	"
Мутные балы программы лояльности ""Урожай""
"	"В банках и магазинах уже давно прописаны довольно прозрачные системы кэшбеков  и бонусных балов, т.е. чему равен кэшбек, чему бонусный бал (как правило 1 руб.)Понять что такое бонусный бал ""Урожая"" всем колхозом невозможно.  Это что такое легковесное и довольно таки волатильное. Напрочь отсутствует информация сколько ""весит""  бал.  Сравнительным путём можно примерно прикинуть, что бал примерно равен 0,3 -0,5 руб.  Почему это чётко не прописать? Цены на некоторые ""подарки""  в балах в 3 раза дороже, и это без учёта доставки. В одном из отзывов писалось, что выгодней всего тратить балы на ж. д. билеты. Да это так, разница между оплатой в РЖД и в ""Урожае""  на поезд Санкт-Петербург - Орёл, всего лишь на 1000 с хвостиком балов выше, правда сроки покупки на 15 дней короче.Не трудно догадаться, что  некий, никому не ведомый посредник получает за наши ""подарки"" далеко не балами лояльности  ""Урожай"" или коэффициент перевода для него ни 0,3 руб. Ваши потребители находятся  между ножницами получения ""подарка"" за легковесные балы либо потери балов по сроку давности.Прозрачности, господа из государственного банка. Прозрачности!"	"Оценка:

			1
		

							Проверяется"
4	04.12.2020 11:04	debitcards	"
Никто ничего не делает! Клиенты? Не, не слышали.
"	25 сентября 2019 года закрыла карту Амурский тигр в отделении на Луначарского, 11/1 (СПб). Приняла заявление Логвиненко Т.В., заверила, что комиссия уже не спишется. Комиссию списали… На карте минус 600 р.2 октября 2020 года повторно писала заявление назакрытие счета и карты и заявление на отмену комиссии.  Приняла заявления Симоненко М.А., также сказала, что комиссия за второй год не спишется. Комиссию списали… На карте минус 1200 р. Все копии моих заявлений на руках. Как достучаться до банка? Кто-то там работает? Куда жаловаться?	"Оценка:

			1
		

							Проверяется"
5	04.12.2020 10:04	debitcards	"
Самый худший банк города  Иваново
"	В сентябре месяце муж обратился в банк , нужны были реквизиты его карты для перечисления зарплаты , прождал час , как обычно в этом банке , оператор сказал что картой давно не пользовались , муж сказал , что Срок карты заканчивается 1 декабря 2020 года , на что получил ответ что ее перевыпусят и ему сообщат по смс. Ждем до 23 ноября - тишина ! А срок карты до 01.12 , снова идём в банк , правда ждали минут 20 , прямо счастье , и тут началось ,,, Первый оператор не смог ничем помочь ! Как так ? Перенаправил наш талон , ждали час !!!!! Новый оператор говорит что перевыпустить  карту невозможно , нужно новую делать с другим счётом , но бухгалтерия на больничном , новый счёт отдать некому !!! Почему при обращении в сентябре этого не сказал оператор ? Ладно , все на нервах , проведя 2 часа в этом аду , отдали заявление на новую карту . Оператор убедил нас , что все деньги на старом счёту мы будем видеть в он Лайн в личном кабинете ! И что ? Карта не актуальна , счета он Лайн муж не видит , сколько денег , даже что было не видит , куда они делись ? Снова идти в банк ? Снова часы ожидания и нервов ? Мы были клиентами этого банка , но ушли , убежали из-за отвратительного , безграмотного обслуживания ! Моя подруга открывала там ячейку и закрыла быстро , отвратительное обслуживание ! Не знаю чем закончится очередной поход в Россельхоз! Уверена - ничем хорошим ! За время ожидания в банке обращаешь внимание на недовольство клиентов , все ругаются на обслуживание ! Полная безграмотность , некомпетентность специалистов , которых назвать так нельзя , как будто из гпту набрали сотрудников ! Самый худший банк в городе Иваново !	"Оценка:

			1
		

							Проверяется"
6	03.12.2020 21:55	debitcards	"
Россельхозбанк не пепевыпускает вовремя карты, а молча выдает вместо них неименные
"	"Добрый день.Пишу от имени своей тещи, Николаевой Надежды Викторовны, которая является обладателем пенсионной карты РСХБ. В октябре 2020 года у карты закончился срок действия. Так как карта используется только для получения начислений на остаток денежных средств, причем процент - максимальный, и ""любимый"" Россельхозбанк забыл прислать напоминание об окончании срока действия, то я обратилась только 1 декабря в отделение РСХБ в г. Алексин с целью получения карты взамен просроченной.В итоге, спустя полчаса ожидания в очереди и 20 минут оформления я получила новую карту, активировала ее в банкомате.Однако спустя несколько дней эта карта не отображается в онлайн-банке РСХБ. Внимательно рассмотрев новую карту, я увидела, что она неименная.  Т.е., РСХБ забыл перевыпустить вовремя карту, и сотрудница не нашла ничего лучше, чем выдать неименную карту вместо именной. Получается, банк выдает карты, напрямую предусматривающие выплату пенсии на карту, но так как карта неименная, то пенсию получать на такую пенсионную карту невозможно. Скорее всего, из-за того. что карта неименная, она не отображается в интернт-банке, и неизвестно теперь, будут ли начисляться проценты на остаток.Прошу представителя банка разобраться в данной ситуации и выдать мне именную пенсионную карту."	"Оценка:

			1
		

							Проверяется"
7	03.12.2020 11:42	debitcards	"
недостатки бонусной программы
"	По дебетовой карте Хозяина не на все сентябрьские и октябрьские покупки начислен полагающийся кэшбек.  Проверить порядок начисления невозможно. Кроме того часть покупок, сделанных в конце октября не учли в месячном обороте, в итоге оборот не достиг необходимых 10 тыс.  и была списана комиссия за обслуживание карты (с учетом этих покупок оборот достигал необходимой суммы).  В ноябрьский оборот эти покупки тоже не вошли (проведены в данный момент по выписке датой 29.10)  и кэшбэк на них также не был начислен.	"Оценка:

			3
		

							Проверяется"
8	03.12.2020 11:35	debitcards	"
Незаконно присвоили 600 рублей!
"	"Украли 600 рублей! Три года назад открыл у них вклад и к нему дали бесплатно карту ""Амурский тигр"".  В этом году она закончила свое действие и банк без моего ведома и разрешения выпустил новую карту. Я ее даже не получал, она не активна, а банк списал 600 рублей!При посещении офиса заставили ждать на улице, т.к. видите ли карантин, а то что на холоде и ветре человек заблеет, им плевать."	"Оценка:

			1
		

							Проверяется"
9	02.12.2020 15:48	debitcards	"
Полнейший ад!
"	"Оформил дебетовую карту в этом банке колхозников. Кстати, приложение они тоже делали руками колхозников где то в поле-оно сверхтупое и очень неудобное, но это-мелочи. Карта в какой то момент перестала реагировать на пинкод- так что я просто не могу на кассе расплатиться ни за что, своими же деньгами!! просто пишет-неверный пин-код. забыть или перепутать я его не мог-представляете себе ситуацию-идешь такой в магазин, наличных при себе нет, набираешь корзину, а на кассе тебе говорят-неверный пин-код!! Но это ладно-бывает же  разное- ад начинается, когда ты звонишь в банк, что бы решить этот вопрос со специалистом. Забудьте, я два дня, на сколько хватило нервов, пытался дозвониться до живого человека. не получилось, робот кидает тебя по кругу минут 15, а потом говорит-"" вы выбрали неверное меню, досвидания!!"" представляете, я чуть не разбил телефон в ярости. НИКОМУ НЕ РЕКОМЕНДУЮ этот банк ни для каких целей, в случае чего вы никогда ни с чем не разберетесь, поддержки у них не запланировано в принципе."	"Оценка:

			1
		

							Проверяется"
