	time	product	title	full_text	mark
0	05.12.2020 11:40	remote	"
ПРОПОДАЮТ ПЛАТЕЖИ ЖКХ САХАЛИНЭНЕРГО
"	"В МОБИЛЬНОМ ПРИЛОЖЕНИИ ОПЛАЧИВАЮ УСЛУГИ ЖКХ И ЭЛЕКТРОЭНЕРГИЮ.ПЛАТЕЖИ НЕ ДОХОДЯТ . В ПОНЕДЕЛЬНИК ПОЙДУ РАЗБИРАТЬСЯ .НАВЕРНО ПРАВИЛЬНО  ГОВОРЯТ БАНК НУЖЕН ТОЛЬКО ДЛЯ СНЯТИЯ ДЕНЕГ. ВО ВСЕХ СМЫСЛАХ ЭТОГО СЛОВА .2000-2020 АО ""Россельхозбанк""  ДА И ДО СИХ ПОР НЕ ВЕРНУЛИ ПЛАТЁЖ В РАЗМЕРЕ 770 РУБЛЕЙ ТАКЖЕ ПЛАТЁЖ УШЁЛ НИ ПОНЯТНО КУДА."	Без оценки
1	04.12.2020 20:14	remote	"
Не хотят закрывать карты
"	Первое обращение.30.09.2020 г.  по моей просьбе сотрудником было оформлено и принято заявление о закрытии счета и прекращении действия карт с номерами ххх6752 и ххх2390. Этим же днем карты были изъята у меня и уничтожены. Это действие я произвела в отделении номер 3349/20/23 г. Саранск.Но карты не пропали из мобильного приложения. Я начала переписку в мобильного приложения интересуясь –почемутак? Среди поступивших ответов был только один разумный, который гласил, что статус карт должен был измениться сразу. После поступали ответы, что, оказывается, УЖЕ и карта закрывается, как и счет, 45 дней. Прошло 45 дней,карты так и остались висеть в моб. приложении. Через переписку в мобильного приложении я спросила, почему карты и счета активны. Но мне ответили, что ответбыл предоставлен  в предыдущем письме. В каком таком письме…На текущий момент, 04.12.2020 карты не пропали из мобильного приложения. Но и теперь по карте сномером ххх6752 появилась «комиссия за обслуживание банковской карты 2020» в размере 400,00 руб. от 25.11.2020Хочу спросить и получить письменно ответ:1. Почему у вас такие некомпетентные работники?2. Почему появилась комиссия по карте ххх6752 и счету, заявление по которым было подано 30.09.2020?3. Почему на текущий момент, 04.12.2020, не закрыты карты с номерами ххх6752  и ххх2390 и счета к ним, заявления по которым были поданы 30.09.2020?Второе обращение.29.10.2020 г. по моей просьбе сотрудником было оформлено и принято заявление о закрытии счета ипрекращении действия карты с номером ххх9129 . Этим же днем карта были изъята у меня и уничтожена. Это действие я произвела в отделении номер 3349/20/23 г. Саранск. Я попросила предоставить мне второй экземпляр или копию. Но мне в этом отказали. Через переписку в мобильном приложении я спросила,почему мне не дали документ. Мне ничего на это не ответили.Хочу спросить и получить письменно ответ:1. Почему мне оказались предоставить второй экземпляр или копию принятого заявление о закрытии счета ипрекращении действия карты с номером ххх9129? Прошу обосновать это с указанием реквизитов нормативного акта.2. Прошу доставить мне второй экземпляр или копию принятого заявление о закрытии счета и прекращении действия карты с номером ххх9129 вашими собственными силами и средствами.	"Оценка:

			1
		

							Проверяется"
2	27.11.2020 12:03	remote	"
Непонятные SMS от банка
"	Пришли 2 sms от отправителя RSHB.Уважаемый *мои фио* ваши контактные данные были изменены, сведения о документах, удостоверяющих личность были изменены, если это были не Вы, то обратитесь в отделение банка.При этом 1. Я не являюсь и никогда не был клиентом РСХБ.2. На горячей линии отвратительно качества бот, типа с распознованием голоса.Вопрос: что это было?!Если на мое имя кто-то оформляет кредитный продукт, то жду ответа на обращение через форму обратной связи сайтаЕсли Вы так бота своего тестируете или формируете клиентскую базу, то это ниже плинтуса.	"Оценка:

			1
		

							Проверяется"
3	25.11.2020 12:33	remote	"
Пожалел, что связался с этим банком!
"	"Это самые наглые, некомпетентные сотрудники, которых только можно увидеть! Что в отделении банка в г. Казань на ул. Глушко, 6 так и по телефону обращения по горячей линии на 8 800 200 60 99. Сначала весь мозг вынесут, но вопросы и проблемы не решают ВООБЩЕ! С самого начала есть проблема, это перевод по системе СБП (система быстрых платежей) по номеру телефона без комиссии. Невозможно данным способом перевести деньги например со Сбера на Россельхозбанк, выдаёт ошибку и проблема на стороне последнего. Несколько раз звонил в службу поддержки, наконец они признали проблему и сказали, что к концу месяца 11.2020 вопрос будет решён и уточнили, что проблема наблюдается у них с перевода карт системы МИР. Но не тут то было! Потом пробую перевести с карты MasterCard(Альфа-Банк) на Россельхозбанк(MasterCard), так же по системе СБП, но при попытке перевода выскочило окно: ""Получатель не найден или не подключил систему быстрых платежей (СПБ)"" Это как так интересно, если у меня в приложении Россельхозбанк в настройках все ползунки включены и активированы??!! Хорошо, пробовал отключить их, перезагрузить устройство и снова включить, но результат тот же, что описано выше!! Звонки в банк, это сплошное мучение выйти на оператора! Потом масса неуместных вопросов, на которые я всё же ответил, но сотрудники даже слушать не хотят и не дают, перебивают на каждом слове! В итоге даже не договорил, взяли бросили трубку!! Больше дозвониться не смог! Больше в данный банк я ни ногой никогда!!! И всем буду рассказывать о негативе, чтобы даже не связывались с этим позорнейшим и отвратительным банком!!! У меня нет никаких слов о них!!!"	"Оценка:

			1"
4	23.11.2020 19:58	remote	"
Кострома
"	"После оформления ипотеки в ""Россельхозбанк"" я стал крайне нуждаться переводах с банка ""Сбербанк"" через систему быстрых платежей на счёт ""Россельхозбанка"". Включил в настройках мобильного приложения ""Россельхозбанк"" все ползунки по СБП в положение ""ВКЛ"" (см. скриншот во вложении)  В Приложении Сбербанк-онлайн также включена система быстрых переводов. При попытке перевести деньги через СБП, отображается сообщение ""Свяжитесь с получателем средств и уточните реквизиты для зачисления""Проверено на различных пользователях сбербанка: знакомые тоже не могут перевести средства в Россельхозбанк через СБП.Также не работает в обратную сторону: с карты Россельхозбанка не удаётся перевести деньги через СБП на любую другую карту. Сообщение такое же: ""Свяжитесь с получателем средств и уточните реквизиты для зачисления""Звонил на горячую линию Россельхозбанка. Там инженер тех.службы ответил, что ""о проблеме известно, через час проблема будет устранена"". Однако через несколько суток проблема не решилась. Также ясно, что проблема касается только моего счёта в Россельхозбанке, так как у моего знакомого проблем с пополнением Сбербанк -> Россельхозбанк через СБП не наблюдается. С проблемой ходил в отделение, где сотрудница также не смогла помочь, послала меня снова звонить в службу ТП по телефону. Предложила пользоваться обычными переводами, однако при таких суммах взимается комиссия в размере около 200р. Если у кого-то возникла такая же проблема, просьба откликнуться на почту ****************@gmail.com возможно вы, а не сотрудники банка поможете мне с решением данной проблемы"	"Оценка:

			1
		

							Проверяется"
5	23.11.2020 16:10	remote	"
Некомпетентный сотрудник
"	я -новый клиент банка. Открывала вклад, получала дебетовую карту и оформляла доступ в интернет-банк. Поскольку я являюсь пенсионером, просила выдать карту Пенсионная, предъявив Справку из пенсионного фонда. Сотрудник А-ва С. С.  отказала, ссылаясь на положение, что Пенсионная карта выдается только при перечислении пенсии, что является не верной информацией. Для регистрации в интернет-банке она выдала мне пароль и сообщила, что в течение 2 часов на мой телефон придет смс с кодом для входа. Я у нее уточнила - надо ли карту активировать в банкомате, на что получила ответ, что никаких действий в банкомате не нужно. жду пароль 10 дней, звонила на ГЛ, писала в банк в соцсетях. Все говорят, что надо идти в офис и подключать какое-то 3Д. По другому пароль получить невозможно. Ваш офис вместе с банкоматом находится на другом конце города и  в период пандемии мне, пенсионерке, ехать на общественно транспорте  совсем ни к чему.	"Оценка:

			2
		


Проблема решена"
6	22.11.2020 20:27	remote	"
Перевод по СБП
"	Добрый вечер! 10.09.2020 г. совершил перевод по СБП с указанием номера телефона Клиента другого банка.Денежные средства РСХБ успешно списал, по факту перевод не был осуществлён. Заявление в офисе банка писал, ответ жду уже 2,5 месяца. Отношения к Клиенту никакого. Предполагаю, что нужно обращать в ЦБ и в прокуратуру.	"Оценка:

			1
		

							Проверяется"
7	18.11.2020 11:45	remote	"
Благодарность
"	Хочу выразить благодарность сотрудникам Россельхозбанка расположенного в Рязанской области г.Сасово.Я около 3-х лет являюсь клиентом этого банка и мне не один раз приходилось общаться по разным вопросам. Менеджеры всегда вежливы, внимательны, корректны, оперативно и доступно ответят на все интересующие вопросы. Общение с такими профессионалами доставляет огромное удовольствие и вызывает только самые положительные эмоции. Благодаря таким сотрудникам, хочется и в дальнейшим пользоваться услугами банка.	"Оценка:

			5
		

							Не засчитана"
8	17.11.2020 18:00	remote	"
Хотите заплатить налог по УИН...а как же не помучиться!
"	"Неоднократно пыталась заплатить налог на недвижимость по УИН и все время получала ответы от банка: - начисления не найдены; - произошла ошибка, повторите попытку позднее. В итоге, по старинке через вкладку ""Платеж в бюджет"" с вбиванием всех реквизитов и символов, согласно налогового уведомления, налог был уплачен. Стыдно должно быть авторам и онлайн- и мобильной версии банка. Сильно напоминает прошлый век."	"Оценка:

			1
		

							Не засчитана"
9	16.11.2020 21:22	remote	"
Неработающая система
"	Здравствуйте! Хотела зарегистрироваться в приложение через госуслуги, предварительно зарегистрировав себя в ЕБС (единая биометрическая система), ох, сколько кругов ада мне пришлось пройти, чтоб сделать это, но это уже другой разговор. Сразу проясню, что в 2019 я позакрывала счета в вашем банке. Думала, что сейчас вот возьму, авторизуюсь через госуслуги и открою нудный мне счёт в нужном мне регионе и все будет замечательно. А нет, оказывается, личный кабинет может просто так существовать без банковских продуктов и выдало ошибку, дескать, я уже клиент и мне нельзя через госуслуги. 16.11.2020 я специально пошла в местное отделение РСХБ, чтоб отключили мне ДБО. Так вот, после всего этого, наконец, придя домой, села авторизоваться, с ЕБС, через госуслуги, все как полагается, ведь я же все сделала для этого, но каково же было мое удивление, когда приложение опять выдало «ошибку». Не нужно мне предлагать пойти в отделение и открыть счёт/восстановить ДБО. Мне нужен счёт в ином регионе, это пока единственная возможность для меня открыть счёт в другом регионе. Пожалуйста, почините/доработайте приложение/интеграцию с ЕБС через Госуслуги.	"Оценка:

			2"
